trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,9,-11.68450690336022,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",20,0,-60.158849571710896,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",20,0,-115.1698820351464,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",20,0,-129.97565686756136,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,0,-124.31792135963747,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",20,0,-82.31854645880733,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,0,-86.66923624825392,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,11,-18.043983294021462,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.002, 'e': 0.812207036711939}",20,0,-75.58188733536494,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",30,15,-20.670496796397256,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",25,0,-128.29868729385026,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",25,2,-2.3165906710632944,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",20,0,-68.54612383854837,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,0,-123.55844980754812,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",25,0,1.6682098487783996,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",25,0,-102.33220472632658,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",25,5,-10.586368814764732,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",20,6,-50.808352660981505,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,8,-70.85100867644479,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 1}",1
116,False,"{'a': 0.002, 'e': 0.794533602503334}",25,5,-37.2658377247624,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",20,0,-160.19781565796035,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
